ifsc,bank_id,branch,address,city,district,state,bank_name
ADCC0000068,61,KURUM BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KURUM, AT. PO. KURUM, TQ. MURTIZAPUR, DIST.AKOLA. 444115",KURUM,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000070,61,KARANJA MAIN BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KARANJA MAIN, AT. PO. TQ. KARANJA,  DIST.WASHIM. 444105",KARANJA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000071,61,KARANJA CITY BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KARANJA CITY, AT. PO. TQ. KARANJA,  DIST.WASHIM. 444105",KARANJA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000072,61,KAMARGAON BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KAMARGAON, AT. PO. KAMARGAON, TQ.KARANJA DIST. WASHIM. 444110",KAMARGAON,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000073,61,UMBARDA BAZAR BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH UMBARDA BAZAR, AT. PO. UMBARDA BAZAR, TQ.KARANJA, DIST. WASHIM.444102",UMBARDA BAZAR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000074,61,DHANAJ BUJRUK BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH DHANAJ BK, AT. PO. DHANAJ BK., TQ. KARANJA, DIST. WASHIM. 444110",DHANAJ BUDRUK,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000075,61,MANBHA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MANBHA, AT. PO. MANBHA, TQ. KARANJA, DIST.WASHIM. 444105",UMBARDA BAZAR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000076,61,POHA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH POHA, AT. PO. POHA, TQ. KARANJA, DIST.WASHIM 444105",KARANJA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000077,61,KAJALESHWAR BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KAJALESHWAR, AT. PO. KAJALESHWAR, TQ. KARANJA DIST. WASHIM. 444017",KAJALESHWAR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000078,61,MANGRULPIR MAIN BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MANGRULPIR MAIN, AT. PO. TQ. MANGRULPIR, DIST.WASHIM. 444403",MANGRULPIR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000079,61,MANGRULPIR CITY BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MANGRULPIR CITY, AT. PO. TQ. MANGRULPIR, DIST.WASHIM. 444403",MANGRULPIR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
AKJB0000010,100,GORAKSHAN ROAD,"PRABHU PLAZA, NEAR POWER HOUSE, GORAKSHAN ROAD, AKOLA PIN 444 004",AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
ADCC0000080,61,MOHARI ┬áBRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MOHARI, AT. PO. MOHARI, TQ. MANGRULPIR, DIST.WASHIM. 444403",MANGRULPIR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000081,61,SHELU BAZAR BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH SHELU BAZAR, AT. PO. SHELU BAZAR, TQ.MANGRULPIR, DIST. WASHIM. 444402",SELU BAZAR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000082,61,WANOJA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH WANOJA, AT. PO. WANOJA, TQ. MANGRULPIR, DIST.WASHIM. 444402",SELU BAZAR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
AKJB0000003,100,RISOD,"JANVAIBHAV, MAIN ROAD, CIVIL LINE, RISOD PIN 4440506",RISOD,WASHIM,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
ADCC0000083,61,DHANORA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH DHANORA, AT. PO. DHANORA, TQ. MANGRULPIR, DIST. WASHIM. 444507",MANGRULPIR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000084,61,MANORA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MANORA, AT. PO. TQ. MANORA, DIST. WASHIM. 444404",MANORA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000085,61,SHENDURJANA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH SHENDURJANA, AT. PO. SHENDURJANA, TQ.MANORA, DIST. WASHIM. 444403",SHENDURJANA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000086,61,POHARADEVI BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH POHARADEVI, AT. PO. POHARADEVI, TQ. MANORA, DIST. WASHIM. 444404",POHARADEVI,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000087,61,SAKHARDOH BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH SAKHARDOH, AT. PO. SAKHARDOH, TQ. MANORA, DIST. WASHIM. 444403",MANORA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000088,61,WASHIM MAIN BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH WASHIM MAIN, NEAR BUS STAND, WASHIM TQ.DIST. WASHIM,  444505",WASHIM,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000089,61,WASHIM CITY BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH WASHIM CITY, SHUKRAWAR PETH, WASHIM, TQ.DIST.WASHIM. 444505",WASHIM,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000090,61,ANSING BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH ANSING, AT. PO. ANSING, TQ. DIST. WASHIM. 444507",ANSING,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000091,61,TONDGAON BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH TONDGAON, AT. PO. TONDGAON, TQ.DIST.WASHIM 444505",WASHIM,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000092,61,PARDI TAKMOR BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH PARDITAKMOR, AT. PO. PARDITAKMOR, TQ.DIST.WASHIM. 444505",PARDI TAKMOR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000093,61,MALEGAON BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MALEGAON, AT. PO. TQ. MALEGAON, DIST.WASHIM. 444503",MALEGAON,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000094,61,KINHIRAJA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KINHIRAJA, AT. PO. KINHIRAJA, TQ. MALEGAON, DIST.WASHIM. 444503",KINHIRAJA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000095,61,SHIRPUR JAIN BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH SHIRPUR, AT. PO. SHIRPUR, TQ. MALEGAON, DIST.WASHIM. 444504",SHIRPUR,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000096,61,MEDSHI BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MEDSHI, AT. PO. MEDSHI, TQ. MALEGAON, DIST.WASHIM. 444512",MEDSHI,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000097,61,PANGRIKUTE BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH PANGRIKUTE, AT. PO. PANGRIKUTE, TQ. MALEGAON DIST. WASHIM. 444503",MALEGAON,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000098,61,JAULKA RAILWAY BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH JAULKA RLY, AT. PO. JAULKA RLY, TQ. MALEGAON, DIST. WASHIM. 444503",JAULKA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000099,61,RISOD MAIN BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH RISOD MAIN, AT. PO. TQ. RISOD, DIST. WASHIM. 444506",RISOD,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000100,61,RISOD CITY BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH RISOD CITY, AT. PO. TQ. RISOD, DIST. WASHIM. 444506",RISOD,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000101,61,RITHAD BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH RITHAD, AT. PO. RITHAD, TQ. RISOD, DIST.WASHIM 444510",RITHAD,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000102,61,KENWAD BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KENWAD, AT. PO. KENWAD, TQ. RISOD, DIST.WASHIM. 444503",KENWAD,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000103,61,MANGULZANAK BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MANGUL ZANAK, AT. PO. MANGUL ZANAK, TQ. RISOD, DIST. WASHIM. 444504",MANGRUL ZANAK,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000104,61,HARAL BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH HARAL, AT. PO. HARAL, TQ. RISOD, DIST. WASHIM. 444510",RISOD,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000105,61,MOP BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MOP, AT. PO. MOP, TQ. RISOD, DIST. WASHIM 444506",RISOD,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000106,61,KESHAV NAGAR,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KESHAVNAGAR, AT. PO. KESHAVNAGAR, TQ. RISOD DIST. WASHIM. 444504",MASALA PEN,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000107,61,WAKAD,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH WAKAD, AT.PO. WAKAD, TQ. RISOD, DIST. WASHIM 444506",WAKAD,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000108,61,CHIKHALI EXTENSION COUNTER,"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD., CHIKHALI",RISOD,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000109,61,KASOLA,"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD., KASOLA",KASOLA,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000110,61,BORDI EXTENSION COUNTER,"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD., IN FRONT OF GRAM PANCHAYAT BORDI",AKOT,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000111,61,PATNI CHOWK BRANCH WASHIM,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH PATNI CHOWK, AT.PO. WASHIM, TQ. WASHIM, DIST. WASHIM 444506",WASHIM,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000112,61,ASEGAON EXTENSION COUNTER,"THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD., ASEGAON",ASEGAON,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000113,61,ZP WASHIM BRANCH,"THE AKOLA DISTRICT CENTRAL CO-OPERATIVE BANK LTD., ZP BRANCH WASHIM",WASHIM,WASHIM,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000114,61,HIWARKHED EXTENSION COUNTER,"THE AKOLA DISTRICT CENTRAL CO OPERATIVE BANK LTD., AKOLA, HIWARKHED",HIWARKHED,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
AKJB0000001,100,RTGS-HO,"JANVAIBHAV,OLD COTTON MARKET,AKOLA,PIN 444001",AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000002,100,MALEGAON,"JANVAIBHAV, MAIN ROAD, MALEGAON PIN 444 503",MALEGAON,WASHIM,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
ALLA0210636,11,SILAO,"VILL. & P.O. SILAO, DIST- NALANDA -803117",SILAO,NALANDA,BIHAR,ALLAHABAD BANK
AKJB0000005,100,MANGRULPIR,"JANVAIBHAV, MAIN ROAD, MANGRULPIR PIN 444 403",MANGRULPIR,WASHIM,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000006,100,KARANJA,"JANVAIBHAV, SHASIKANT TALKIES ROAD, KARANJA PIN 444 105",KARANJA,WASHIM,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000007,100,TELHARA,"MAIN ROAD, TELHARA PIN 444 108",TELHARA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000008,100,TAJNAPETH,"SUBHASH ROAD, TAJNAPETH, AKOLA PIN 444 001",AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000011,100,MURTIZAPUR,"HARIYA NAGAR,MAIN ROAD,MURTIZAPUR PIN 444107",AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000012,100,AKOT,"AKOLA ROAD,SHIVAJI CHOWK,AKOT PIN 444101",AKOT,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000013,100,SHIRPUR,"OMKAR NAGRI,WARD NO.3,BEHIND BUS STAND,SHIRPUR PIN 444 504",SHIRPUR,WASHIM,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000014,100,MANORA,"MAIN ROAD,MANORA PIN 444 404",MANORA,WASHIM,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000015,100,AMRAVATI,"DEVHARI COMPLEX,NEAR VASANT TALKIES,JAISTAMBH CHOWK,AMRAVATI PIN 444 601",AMRAVATI,AMRAVATI,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000016,100,KHAMGAON,"JANVAIBHAV,SHRIRAM CHOWK,PHARSHI ROAD,INFRONT OF SAHELE COMPLEX,KHAMGAON PIN 444 303",KHAMGAON,BULDHANA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000017,100,OLD CITY,"NEAR CHHAYA HOSPITAL,DABKI ROAD,OLD CITY,AKOLA PIN 444 001",AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000018,100,JALGAON,"91,NAVIPETH,NEAR L.I.C. OFFICE,JALGAON PIN 425 001",JALGAON,JALGAON,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000019,100,YAVATMAL,"DATTA CHOWK,YAVATMAL PIN 445 001",YAVATMAL,YAVATMAL,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000020,100,NAGPUR,"SERVODAYA CLOTH MARKET,GANDHI BAUG,NAGPUR PIN 440 002",NAGPUR,NAGPUR,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000021,100,DIGRAS,"NETAJI CHOWK,MAIN ROAD,DIGRAS PIN 445 203",DIGRAS,YAVATMAL,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000022,100,MALKAPUR ROAD,"MAYUR COLONY,NEAR OCTRIO NAKA,MALKAPUR ROAD,AKOLA PIN 444 004",AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000023,100,AKOT ROAD,"JANVAIBHAV,NEAR HOMEOPATHIC COLLEGE,AKOT ROAD,AKOLA PIN 444 003",AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000024,100,MALKAPUR,"JANVAIBHAV,BHANSALI COMPLEX,BULDHANA ROAD,MALKAPUR PIN 443 101",MALKAPUR,BULDHANA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000025,100,PARBHANI,"KACHHI BAZAR,PARBHANI PIN 431 401",PARBHANI,PARBHANI,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000026,100,NANDED,"GURUKRUPA MARKET,MAHAVIR CHOWK,VAZIRABAD,NANDED PIN 431 601",NANDED,NANDED,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000027,100,KALBADEVI,"205,207,209 NARAYAN BANSILAL BLD.,KALBADEVI RD,IN FRONT OF JAIN MANDIR,KALBADEVI,MUMBAI PIN 400 002",MUMBAI,MUMBAI,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000028,100,PARATWADA,"DURANI CHOWK,PARATWADA PIN 444 805",PARATWADA,AMRAVATI,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000029,100,CHANDUR RLY,"GANDHI CHOWK,MAIN ROAD,CHANDUR RAILWAY PIN 444 904",CHANDUR RLY,AMRAVATI,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000030,100,AURANGABAD,"AAKASHWANI CHOWK,JALNA ROAD,AURANGABAD PIN 431 001",AURANGABAD,AURANGABAD,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000031,100,PUSAD,"THAKUR MARKET,MAIN ROAD,PUSAD PIN 445 204",PUSAD,YAVATMAL,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000032,100,BURHANPUR,"PARINISHA,SHANWARA GATE,BURHANPUR M.P. PIN 450 331",BURHANPUR,BURHANPUR,MADHYA PRADESH,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000033,100,INDORE,"CHETAK CENTRE,R.N.T.MARG,INDORE M.P.PIN 452 001",INDORE,INDORE,MADHYA PRADESH,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000035,100,NASIK,"SURVEY NO.718,1A,2B,3 PLOT NO.469,CANADA CORNER,NASIK PIN 422 005",NASIK,NASIK,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000036,100,SHELU BAZAR,LAXMICHAND VIDYALAY SHELU BAZAR PIN 444402,SHELU BAZAR,WASHIM,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
AKJB0000037,100,SINDHI CAMP,GURUNANAK VIDYALAY SINDHI CAMP PIN 444004,AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
ALLA0210001,11,GUWAHATI MAIN BRANCH,"H. B. ROAD, MACHOWA, OPP. OF ASTC BUS STAND MACHKHOWA, GUWAHATI",GUWAHATI,KAMRUP,ASSAM,ALLAHABAD BANK
ALLA0210002,11,PATNA UNIVERSITY,"PATNA UNIVERSITY.GANESH ROAD,DIST-PATNA",PATNA,PATNA,BIHAR,ALLAHABAD BANK
ALLA0210003,11,PATNA MAIN,"BUDH MARG,DIST-PATNA,PIN-800001",PATNA,PATNA,BIHAR,ALLAHABAD BANK
ALLA0210004,11,HILSA,SHAHA MARKET HILSA DIST. NALANDA BIHAR - 801 302,HILSA,NALANDA,BIHAR,ALLAHABAD BANK
ALLA0210005,11,MUZAFFARPUR,"SARAIYAGANJ, MUZAFFARPUR PIN-842001",MUZAFFARPUR,MUZAFFARPUR,BIHAR,ALLAHABAD BANK
ALLA0210006,11,HAJIPUR (MUZAFFARPUR),VAISHALI 844 101,MUZAFFARPUR,MUZAFFARPUR,BIHAR,ALLAHABAD BANK
ALLA0210007,11,MARHOWRAH,VILL & P.O. MARHOWRAH DIST. SARAN - 841 418 BIHAR,MARHAURA,SARAN,BIHAR,ALLAHABAD BANK
ALLA0210008,11,BUXAR,"NAYA CHOWK BUXAR DIST. BUXAR,PIN -802101 DIST- BUXAR BIHAR 802101",BUXAR,BUXAR,BIHAR,ALLAHABAD BANK
ALLA0210009,11,JAMALPUR,MUNGER ROAD JAMALPUR DIST. MUNGER - BIHAR 811214,JAMALPUR,MUNGER,BIHAR,ALLAHABAD BANK
ALLA0210010,11,BHAGALPUR,"CHANDRALOK MARKET, GHANTAGHAR DISTT. BHAGALPUR BIHAR 812001",BHAGALPUR,BHAGALPUR,BIHAR,ALLAHABAD BANK
ALLA0210011,11,BHAGALPUR UNIVERSITY,BHAGALPUR UNIVERSITY CAMPUS P.O. T.N.B. COLLEGE BHAGALPUR - 812 007 BHAGALPUR - 812 007 BHAGALPUR BIHAR 812007,PATNA,PATNA,BIHAR,ALLAHABAD BANK
ALLA0210012,11,MADHUPUR,"P.O-MADHUPUR,DIST-DEOGHAR",MADHUPUR,DEOGHAR,JHARKHAND,ALLAHABAD BANK
ALLA0210013,11,JASIDIH,P.O.JASIDIH DIST:DEOGHAR,JASIDIH,DEOGHAR,JHARKHAND,ALLAHABAD BANK
ALLA0210014,11,DHANBAD,"CHAUDA MANSION,69,RAJENDRA MARKET,BANK MORE, KATRAS ROAD,DIST DHANBAD-826001",DHANBAD,DHANBAD,JHARKHAND,ALLAHABAD BANK
ALLA0210015,11,GOMOH,"PURNA BAZAR,GOMOH, DIST-BOKARO, JHARKAHAND",GOMOH,BOKARO,JHARKHAND,ALLAHABAD BANK
ALLA0210016,11,KATRASGARH,HANUMAN MANSION DIST-DHANBADJHARKHAND 828113,DHANBAD,DHANBAD,JHARKHAND,ALLAHABAD BANK
ALLA0210017,11,KUMARDHUBI,"TALDANGA, P.O-SARISAPAHARI KUMARDHUBI, BLOCK-NIRSA DIST-DHANBAD JHARKHAND DHANBAD JHARKHAND 828203",DHANBAD,DHANBAD,JHARKHAND,ALLAHABAD BANK
ALLA0210018,11,NIRSA,"VILL & P.O- NIRSA CHATTI, UPPER G.T. ROAD, NIRSA CHATTI DIST-DHANBAD JHARKHAND828205",NIRSA,DHANBAD,JHARKHAND,ALLAHABAD BANK
ALLA0210019,11,SIJUA,"VILL-SIJUA, DIST-DHANBAD, JHARKHAND",SIJUA,DHANBAD,JHARKHAND,ALLAHABAD BANK
ALLA0210020,11,GOVINDPUR,"VILL & P.O-GOVINDPUR, DIST-DHANBAD, PIN-828109, JHARKHAND",GOVINDPUR,DHANBAD,JHARKHAND,ALLAHABAD BANK
ALLA0210021,11,RANCHI MAIN,"RANCHI MAIN BRANCH, BUDHIA BUILDING, NEAR MAHAVIR MANDIR, MAIN ROAD RANCHI-834001.",RANCHI,RANCHI,JHARKHAND,ALLAHABAD BANK
ALLA0210022,11,ALIPORE BRANCH KOLKATA,"┬á1A, RONALDSHAY ROAD, KOLKATA - 700027",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210023,11,KOLKATA BHOWANIPORE,"107-B,A.MUKHERJEE RD. KOL-025",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210024,11,KASBA,"118, B.B. CHATTERJEE STREET KOLKATA - 700 042WEST BENGAL",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210025,11,KOLKATA B. K. PAL AVENUE,"88, B K PAUL AVENUE, KOLKATA-700005",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210026,11,KOLKATA SOUTH BRANCH,"111A,&B, S P MUKHERJEE ROAD, KOLKATA-700026",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210027,11,KOLKATA CHITTARANJAN AVENUE,"113/1B, C.R. AVENUE, KOL-12",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210028,11,KOLKATA BELIAGHATA,"P-214, C.I.T. ROAD, SCH-IV, KOL-10",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210029,11,COLLEGE STREET,"224/5 B, BIDHAN SARANI KOLKATA WEST BENGAL 700007",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210030,11,KOLKATA DHARAMTOLLA STREET,"5, C. R. AVENUE, KOLKATA  - 700 072 WEST BENGAL",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210031,11,MAIN BRANCH  KOLKATA,"14, INDIA EXCHANGE PLACE , KOLKATA-700001",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
ALLA0210032,11,HEAD OFFICE,"ALLAHABAD BANK,HEAD OFFICE,2 N S ROAD,KOLKATA 700001",KOLKATA,KOLKATA,WEST BENGAL,ALLAHABAD BANK
